,ID,Título,Data de Publicação,Hora de Publicação,Descrição,Período de Referência,Fundos,Duração,Dimensão,Definição,Legendas,Conteúdo Licenciado,Licença de Uso,Tags,Privacidade,Canal,Visualizações,Likes,Favoritos,Comentários
0,dhaE0YL46oQ,Fundo de Infraestrutura KDIF11 - Resumo Mensal do Kinea Infra ref. Agosto.22,02/09/2022,18:22:38,"Balanço mensal do mês de Agosto de 2022 do fundo Kinea Infra (KDIF11).

Por Aymar Almeida, sócio e gestor do fundo de Infraestrutura e Luis Filipe de Callis, relacionamento com investidores da Kinea.

Cadastre-se em nossa newsletter e receba as informações da Kinea em primeira mão: https://www.kinea.com.br/newsletter/

Mais informações sobre os fundos Kinea em: https://www.kinea.com.br/
Siga a Kinea no Linkedin: https://www.linkedin.com/company/kinea-investimentos/

Mais informações sobre o fundo em:
Kinea Infra (KDIF11): https://www.kinea.com.br/fundos/infra-kdif11/ 

Fale com a equipe Kinea para tirar dúvidas e saber mais sobre oportunidades de investimento:
https://www.kinea.com.br/fale-conosco/
relacionamento@kinea.com.br

Além disso, para ter novidades em primeira mão, acesse também nosso novo grupo Kinea Investimentos no Telegram. https://t.me/kineainvestimentos

Busque por @kineainvestiementos no Instagram: 
https://www.instagram.com/kineainvestimentos/",Agosto/2022,KDIF11,06:12,2D,HD,False,False,YouTube,"kinea, kinea investimentos, investimentos, fundo, fundos, fundo de investimentos, investir, dinheiro, rende, renda, kinea renda, imobiliária, rendimento, bolsa, imóveis, prédio, comercial, investimento, render, grana, money, rentabilidade, performance, primo, rico, infomoney, valor, economia, econômico, santander, itaú, bradesco, personallité, caixa, bb, banco do brasil, xp, orama, mercado, btg, kdif11, kdif, infra, infraestrutura, fundo de infra, kdif 11, fundos de infraestrutura, energia, #cartadogestor, #infraestrutura",Público,Kinea Investimentos,522,98,0,1
1,gsJhznlLMfM,"Fundos de CRIs (KNCR11, KNIP11, KNHY11, KNSC11 e KCRE11) - Resumo Mensal ref. Agosto.22",02/09/2022,01:16:46,"Balanço mensal do mês de Agosto de 2022 dos fundos de CRIs (KNCR11, KNIP11, KNHY11, KNSC11 e KCRE11) da Kinea.

Por Pedro Bruder, do time de gestão dos fundos de CRI da Kinea, e Luis Filipe de Callis, da área de RI da Kinea.

Cadastre-se em nossa newsletter e receba as informações da Kinea em primeira mão: https://www.kinea.com.br/newsletter/

Acesse as redes da Kinea e fique por dentro das novidades, clicando aqui: https://linktr.ee/kineainvestimentos
 
Mais informações sobre os fundos Kinea em:
https://www.kinea.com.br
 
Siga a Kinea no Linkedin:
https://www.linkedin.com/company/kinea-investimentos
 
Mais informações sobre os fundos de CRI da Kinea em:
Kinea Rendimentos (KNCR11): https://www.kinea.com.br/fundos/fundo-imobiliario-kinea-rendimentos-kncr11/
Kinea Índices de Preços (KNIP11): https://www.kinea.com.br/fundos/fundo-imobiliario-kinea-indices-de-precos-knip11/
Kinea High Yield (KNHY11): https://www.kinea.com.br/fundos/fundo-imobiliario-kinea-high-yield-knhy11/
Kinea Securities (KNSC11): https://www.kinea.com.br/fundos/fundo-imobiliario-kinea-securities-knsc11/
Kinea Creditas (KCRE11): https://www.kinea.com.br/fundos/fundo-imobiliario-kinea-creditas-kcre11/
 
Fale com a equipe Kinea para tirar dúvidas e saber mais sobre oportunidades de investimento:
https://www.kinea.com.br/fale-conosco
relacionamento@kinea.com.br
 
Além disso, para ter novidades em primeira mão, acesse também nosso novo grupo Kinea Investimentos no Telegram. https://t.me/kineainvestimentos

Busque por nosso perfil @kineainvestiementos no Instagram: 
https://www.instagram.com/kineainvestimentos/",Agosto/2022,"CRIs, KNCR11, KNIP11, KNHY11, KNSC11, KCRE11",08:36,2D,HD,False,False,YouTube,"kinea, kinea investimentos, investimento, investimentos, fundo, fundos, de, renda, imobiliária, fii, knri, knri11, KNCR11, KNIP11, knhy11, knsc11, cri, cris, fixa, renda fixa, rendimento, dinheiro, rentável, bom, melhor, bolsa, listado, investir, xp, itaú, banco, bba, asset, verde, empiricus, economizar, economia, render, multiplicar, money, real, estate, private, equity, rentabilidade, dividendos, pagamento, mensal, anual, semestral, fundo com, cota, cotistas, valor, oferta, reforma, tributária, governo, impostos, finclass, KCRE11, Creditas",Público,Kinea Investimentos,897,138,0,2
2,yiOWm-SHcBw,Fundo Kinea Crédito Agro - FIAGRO (KNCA11) - Resumo Mensal ref. Agosto.22,02/09/2022,01:06:16,"Balanço mensal do mês de Agosto para os fundos de CRA - Certificados de Recebíveis do Agronegócio.

Cadastre-se em nossa newsletter e receba as informações da Kinea em primeira mão: https://www.kinea.com.br/newsletter/

Por Alexandre Marco, do time de gestão dos fundos de CRA da Kinea, e Luis Filipe de Callis, da área de RI da Kinea.

Acesse as redes da Kinea e fique por dentro das novidades, clicando aqui: https://linktr.ee/kineainvestimentos
 
Mais informações sobre os fundos Kinea em:
https://www.kinea.com.br
 
Siga a Kinea no Linkedin:
https://www.linkedin.com/company/kinea-investimentos
 
Mais informações sobre o fundos de CRA da Kinea:
https://www.kinea.com.br/fundos/kinea-agro-knca11/
 
Fale com a equipe Kinea para tirar dúvidas e saber mais sobre oportunidades de investimento:
https://www.kinea.com.br/fale-conosco
relacionamento@kinea.com.br
 
Além disso, para ter novidades em primeira mão, acesse também nosso novo grupo Kinea Investimentos no Telegram. https://t.me/kineainvestimentos

Busque por nosso perfil @kineainvestiementos no Instagram: 
https://www.instagram.com/kineainvestimentos/",Agosto/2022,KNCA11,03:03,2D,HD,False,False,YouTube,"kinea, kinea investimentos, investimento, investimentos, fundo, fundos, de, renda, imobiliária, fii, KNCR11, KNIP11, knhy11, knsc11, cri, cris, fixa, renda fixa, rendimento, dinheiro, rentável, bom, melhor, bolsa, listado, investir, xp, xp inc, itaú, banco, bba, asset, verde, órama, orama, empiricus, economizar, economia, render, multiplicar, money, real, estate, private, equity, rentabilidade, dividendos, pagamento, mensal, anual, semestral, cota, cotistas, valor, oferta, governo, impostos, finclass, CRA, agro, fiagro, agronegócio, agronegócios",Público,Kinea Investimentos,344,70,0,2
3,QsjAcEGP8D8,Fundos de Ações Kinea - Resumo Mensal ref. Agosto.22,02/09/2022,00:54:52,"Balanço mensal do mês de Agosto de 2022 dos fundos de ações da Kinea.
Por Rafael Oliveira, gestor dos fundos de ações, e Marcela Pereira, da área de RI da Kinea.

Cadastre-se em nossa newsletter e receba as informações da Kinea em primeira mão: https://www.kinea.com.br/newsletter/

Acesse as redes da Kinea e fique por dentro das novidades, clicando aqui: https://linktr.ee/kineainvestimentos
 
Mais informações sobre os fundos Kinea em:
https://www.kinea.com.br
 
Siga a Kinea no Linkedin:
https://www.linkedin.com/company/kinea-investimentos
 
Mais informações sobre os fundos de ações da Kinea em:
Kinea Gama: https://www.kinea.com.br/fundos/fundo-acoes-gama/
Kinea Prev Ações: https://www.kinea.com.br/fundos/fundo-prev-acoes/
Kinea Prev Ações XP: https://www.kinea.com.br/fundos/fundo-prev-acoes-xp/
 
Fale com a equipe Kinea para tirar dúvidas e saber mais sobre oportunidades de investimento:
https://www.kinea.com.br/fale-conosco
relacionamento@kinea.com.br
 
Além disso, para ter novidades em primeira mão, acesse também nosso novo grupo Kinea Investimentos no Telegram. https://t.me/kineainvestimentos

Busque por @kineainvestiementos no Instagram: 
https://www.instagram.com/kineainvestimentos/",Agosto/2022,Ações,04:12,2D,HD,False,False,YouTube,"ações, kinea, kinea investimentos, investimentos, ação, bolsa, valores, b3, fundo, fundos, moeda, valor, atlas, kinea atlas, kinea gama, gama, kinea prev, prev, multimercados, bolsa de valores, dinheiro, melhor, stock, options, macro, global, carteira, posições, posição, rendimento, grana, xp, btg, itaú, bradesco, santander, gerenciar, multiplicar, render, ganhar, mais, primo, rico, ficar, empiricus, recomendação, recomendada, toro, orama, verde, asset, gestora, gestor, selic, totvs, inflação, ipca, juros, cdi, meta, benchmark, #cartadogestor",Público,Kinea Investimentos,225,30,0,0
5,ECLWwKioHnY,KFOF11 - Resumo Mensal do Kinea FOF FII ref. Agosto.22,01/09/2022,23:28:33,"Balanço mensal do mês de Agosto de 2022 do fundo Kinea Fundo de Fundos FII (KFOF11).

Cadastre-se em nossa newsletter e receba as informações da Kinea em primeira mão: https://www.kinea.com.br/newsletter/

Acesse as redes da Kinea e fique por dentro das novidades, clicando aqui: https://linktr.ee/kineainvestimentos

Por Lucas Simon, gestor do fundo e Luis Filipe de Callis, da área de Relacionamento com Investidores da Kinea.
 
Mais informações sobre os fundos Kinea em:
https://www.kinea.com.br
 
Siga a Kinea no Linkedin:
https://www.linkedin.com/company/kinea-investimentos
 
Mais informações sobre o fundo em:
Kinea Fundo de Fundos FII (KFOF11): https://www.kinea.com.br/fundos/fundo-imobiliario-kinea-fof-fii-kfof11/
 
Fale com a equipe Kinea para tirar dúvidas e saber mais sobre oportunidades de investimento:
https://www.kinea.com.br/fale-conosco/
relacionamento@kinea.com.br
 
Além disso, para ter novidades em primeira mão, acesse também nosso novo grupo Kinea Investimentos no Telegram. https://t.me/kineainvestimentos 

Procure pelo podcast Kinea nas principais plataformas de podcast.

Busque por nosso perfil @kineainvestiementos no Instagram: 
https://www.instagram.com/kineainvestimentos/",Agosto/2022,KFOF11,03:23,2D,HD,False,False,YouTube,"kinea, kinea investimentos, investimentos, fundo, fundos, fundo de investimentos, imobiliário, imobiliários, fundos imobiliários, fundo imobiliário, investir, dinheiro, rende, renda, kinea renda, imobiliária, rendimento, bolsa, imóveis, prédio, comercial, galpão, logístico, investimento, render, grana, money, rentabilidade, performance, primo, rico, infomoney, valor, economia, econômico, santander, itaú, bradesco, personallité, caixa, bb, banco do brasil, xp, orama, mercado, btg, kfof, fundo de fundos, #CartadoGestor, #kfof11",Público,Kinea Investimentos,246,40,0,0
6,ry21pA9AsdY,Crédito Privado Kinea - Resumo Mensal ref. Agosto.22,01/09/2022,21:00:11,"Balanço mensal do mês de Agosto de 2022 do fundo Kinea Crédito Privado.

Por Ivan Fernandes, Gestor dos fundos de Crédito Privado da Kinea e Ivan Simão, head da área de relacionamento com investidores.

Cadastre-se em nossa newsletter e receba as informações da Kinea em primeira mão: https://www.kinea.com.br/newsletter/ 

Acesse as redes da Kinea e fique por dentro das novidades, clicando aqui: https://linktr.ee/kineainvestimentos 

Mais informações sobre os fundos Kinea em: https://www.kinea.com.br/
Siga a Kinea no Linkedin: https://www.linkedin.com/company/kinea-investimentos 

Mais informações sobre os fundos de Crédito Privado da Kinea em:
Kinea Cred Privado: https://www.kinea.com.br/fundos/fundo-previdenciario-credito-privado/  
Kinea Prev Andes: https://www.kinea.com.br/fundos/fundo-previdenciario-credito-privado-prev-andes/ 
Kinea Alpes Prev: https://www.kinea.com.br/fundos/fundo-previdenciario-credito-privado-alpes-prev/ 
Kinea Andes: https://www.kinea.com.br/fundos/kinea-andes/  
Kinea Oportunidade: https://www.kinea.com.br/fundos/kinea-oportunidade/  

Fale com a equipe Kinea para tirar dúvidas e saber mais sobre oportunidades de investimento:
https://www.kinea.com.br/fale-conosco/ 
relacionamento@kinea.com.br 

Além disso, para ter novidades em primeira mão, acesse também nosso novo grupo Kinea Investimentos no Telegram. https://t.me/kineainvestimentos 

Busque por @kineainvestiementos no Instagram:  
https://www.instagram.com/kineainvestimentos/",Agosto/2022,Crédito Privado,03:29,2D,HD,False,False,YouTube,"kinea, kinea investimentos, investimentos, investimento, bolsa, dinheiro, melhor, valores, risco, brasil, internacional, juros, futuro, ações, ação, primo rico, rico, primo, gestores, comprar, vender, asset, finanças, fundos, fundo, fundo de investimentos, fundo de investimento, xp, xp inc, orama, toro, verde, poupança, cdi, ipca, performance, real, dólar, rentabilidade, ganhar, rentável, itaú, santander, bradesco, caixa, btg, pactual, safra, crédito, privado, crédito privado, me poupe, live, #CartadoGestor, #CréditoPrivado",Público,Kinea Investimentos,190,27,0,0
7,PUCfybCjzhY,Fundos Multimercados Kinea - Resumo Mensal ref. Agosto.22,01/09/2022,20:59:30,"Balanço mensal do mês de Agosto de 2022 dos fundos multimercados da Kinea. Por Ruy Alves, gestor de macro global, e Marcela Pereira, do time de RI da Kinea.

Cadastre-se em nossa newsletter e receba as informações da Kinea em primeira mão: https://www.kinea.com.br/newsletter/

Acesse as redes da Kinea e fique por dentro das novidades, clicando aqui: https://linktr.ee/kineainvestimentos

Mais informações sobre os fundos Kinea em: https://www.kinea.com.br/
Siga a Kinea no Linkedin: https://www.linkedin.com/company/kinea-investimentos/ 

Mais informações sobre os fundos multimercados Kinea em:
Kinea Atlas (II): https://www.kinea.com.br/fundos/fundo-multimercado-atlas-ii/ 
Kinea Chronos: https://www.kinea.com.br/fundos/fundo-multimercado-chronos/ 
Kinea Apolo: https://www.kinea.com.br/fundos/fundo-multimercado-apolo/
Kinea Prev XTR: https://www.kinea.com.br/fundos/prev-xtr/
Kinea Prev MM: https://www.kinea.com.br/fundos/prev/
Kinea Prev Apolo: https://www.kinea.com.br/fundos/kinea-prev-apolo-itau/

Fale com a equipe Kinea para tirar dúvidas e saber mais sobre oportunidades de investimento:
https://www.kinea.com.br/fale-conosco/
relacionamento@kinea.com.br

Além disso, para ter novidades em primeira mão, acesse também nosso novo grupo Kinea Investimentos no Telegram. https://t.me/kineainvestimentos

Busque por @kineainvestiementos no Instagram: 
https://www.instagram.com/kineainvestimentos/",Agosto/2022,Multimercados,06:46,2D,HD,False,False,YouTube,"kinea, kinea investimentos, investimentos, investimento, bolsa, dinheiro, melhor, valores, risco, brasil, internacional, juros, futuro, ações, ação, primo rico, rico, primo, gestores, comprar, vender, asset, finanças, fundos, fundo, fundo de investimentos, fundo de investimento, xp, orama, toro, verde, poupança, cdi, ipca, performance, real, dólar, rentabilidade, ganhar, rentável, itaú, santander, bradesco, caixa, btg, pactual, safra, crédito, privado, crédito privado, me poupe, live, #cartadogestor, #multimercados, #multimercado",Público,Kinea Investimentos,791,92,0,2
8,xi4kISbKzMY,Fundos Renda Fixa Kinea - Resumo Mensal ref. Agosto.22,01/09/2022,20:59:11,"Balanço mensal do mês de Agosto de 2022 dos fundos de Renda Fixa da Kinea.

Por Roberto Elaiuy, gestor dos fundos de Renda Fixa, e Marcela Pereira, da área de relacionamento com investidores da Kinea.

Cadastre-se em nossa newsletter e receba as informações da Kinea em primeira mão: https://www.kinea.com.br/newsletter/

Acesse as redes da Kinea e fique por dentro das novidades, clicando aqui: https://linktr.ee/kineainvestimentos

Mais informações sobre os fundos Kinea em: https://www.kinea.com.br/
Siga a Kinea no Linkedin: https://www.linkedin.com/company/kinea-investimentos/

Mais informações sobre os fundos de renda fixa Kinea em:
Kinea RF Absoluto: https://www.kinea.com.br/fundos/fundo-renda-fixa-kinea-rf-absoluto/
Kinea Prev RF: https://www.kinea.com.br/fundos/prev-rf-ativo/

Fale com a equipe Kinea para tirar dúvidas e saber mais sobre oportunidades de investimento:
https://www.kinea.com.br/fale-conosco/
relacionamento@kinea.com.br

Além disso, para ter novidades em primeira mão, acesse também nosso novo grupo Kinea Investimentos no Telegram. https://t.me/kineainvestimentos

Busque por @kineainvestiementos no Instagram: 
https://www.instagram.com/kineainvestimentos/",Agosto/2022,Renda Fixa,04:04,2D,HD,False,False,YouTube,"kinea, kinea investimentos, investimentos, investimento, bolsa, renda, fixa, renda fixa, dinheiro, melhor, bolsa de valores, valores, risco, brasil, internacional, juros, futuro, ações, ação, primo rico, rico, primo, gestores, comprar, vender, asset, finanças, fundos, fundo, fundo de investimento, xp, xp inc, orama, toro, verde, natalia, arcuri, poupe, poupança, cdi, ipca, performance, real, dólar, rentabilidade, ganhar, rentável, itaú, santander, bradesco, caixa, btg, pactual, safra, #CartadoGestor, #RendaFixa",Público,Kinea Investimentos,307,41,0,0
9,Mper8itdv5k,"Fundos de CRIs (KNCR11, KNIP11, KNHY11, KNSC11 e KCRE11) - Resumo Mensal ref. Julho.22",03/08/2022,15:12:35,"Balanço mensal do mês de Julho de 2022 dos fundos de CRIs (KNCR11, KNIP11, KNHY11, KNSC11 e KCRE11) da Kinea.

Por Flávio Cagno, sócio e gestor dos fundos de CRI da Kinea, e Luis Filipe de Callis, da área de RI da Kinea.

Cadastre-se em nossa newsletter e receba as informações da Kinea em primeira mão: https://www.kinea.com.br/newsletter/

Acesse as redes da Kinea e fique por dentro das novidades, clicando aqui: https://linktr.ee/kineainvestimentos
 
Mais informações sobre os fundos Kinea em:
https://www.kinea.com.br
 
Siga a Kinea no Linkedin:
https://www.linkedin.com/company/kinea-investimentos
 
Mais informações sobre os fundos de CRI da Kinea em:
Kinea Rendimentos (KNCR11): https://www.kinea.com.br/fundos/fundo-imobiliario-kinea-rendimentos-kncr11/
Kinea Índices de Preços (KNIP11): https://www.kinea.com.br/fundos/fundo-imobiliario-kinea-indices-de-precos-knip11/
Kinea High Yield (KNHY11): https://www.kinea.com.br/fundos/fundo-imobiliario-kinea-high-yield-knhy11/
Kinea Securities (KNSC11): https://www.kinea.com.br/fundos/fundo-imobiliario-kinea-securities-knsc11/
Kinea Creditas (KCRE11): https://www.kinea.com.br/fundos/fundo-imobiliario-kinea-creditas-kcre11/
 
Fale com a equipe Kinea para tirar dúvidas e saber mais sobre oportunidades de investimento:
https://www.kinea.com.br/fale-conosco
relacionamento@kinea.com.br
 
Além disso, para ter novidades em primeira mão, acesse também nosso novo grupo Kinea Investimentos no Telegram. https://t.me/kineainvestimentos

Busque por nosso perfil @kineainvestiementos no Instagram: 
https://www.instagram.com/kineainvestimentos/",Julho/2022,"CRIs, KNCR11, KNIP11, KNHY11, KNSC11, KCRE11",05:15,2D,HD,False,False,YouTube,"kinea, kinea investimentos, investimento, investimentos, fundo, fundos, de, renda, imobiliária, fii, knri, knri11, KNCR11, KNIP11, knhy11, knsc11, cri, cris, fixa, renda fixa, rendimento, dinheiro, rentável, bom, melhor, bolsa, listado, investir, xp, itaú, banco, bba, asset, verde, empiricus, economizar, economia, render, multiplicar, money, real, estate, private, equity, rentabilidade, dividendos, pagamento, mensal, anual, semestral, fundo com, cota, cotistas, valor, oferta, reforma, tributária, governo, impostos, finclass, KCRE11, Creditas",Público,Kinea Investimentos,26906,251,0,9
10,e8evjg3UK3Q,Fundo de Infraestrutura KDIF11 - Resumo Mensal do Kinea Infra ref. Julho.22,03/08/2022,12:57:01,"Balanço mensal do mês de Julho de 2022 do fundo Kinea Infra (KDIF11).

Por Aymar Almeida, sócio e gestor do fundo de Infraestrutura e Luis Filipe de Callis, relacionamento com investidores da Kinea.

Cadastre-se em nossa newsletter e receba as informações da Kinea em primeira mão: https://www.kinea.com.br/newsletter/

Mais informações sobre os fundos Kinea em: https://www.kinea.com.br/
Siga a Kinea no Linkedin: https://www.linkedin.com/company/kinea-investimentos/

Mais informações sobre o fundo em:
Kinea Infra (KDIF11): https://www.kinea.com.br/fundos/infra-kdif11/ 

Fale com a equipe Kinea para tirar dúvidas e saber mais sobre oportunidades de investimento:
https://www.kinea.com.br/fale-conosco/
relacionamento@kinea.com.br

Além disso, para ter novidades em primeira mão, acesse também nosso novo grupo Kinea Investimentos no Telegram. https://t.me/kineainvestimentos

Busque por @kineainvestiementos no Instagram: 
https://www.instagram.com/kineainvestimentos/",Julho/2022,KDIF11,08:37,2D,HD,False,False,YouTube,"kinea, kinea investimentos, investimentos, fundo, fundos, fundo de investimentos, investir, dinheiro, rende, renda, kinea renda, imobiliária, rendimento, bolsa, imóveis, prédio, comercial, investimento, render, grana, money, rentabilidade, performance, primo, rico, infomoney, valor, economia, econômico, santander, itaú, bradesco, personallité, caixa, bb, banco do brasil, xp, orama, mercado, btg, kdif11, kdif, infra, infraestrutura, fundo de infra, kdif 11, fundos de infraestrutura, energia, #cartadogestor, #infraestrutura",Público,Kinea Investimentos,26129,261,0,12
